id,area_type,price,total_sqft,location,size,availability,balcony,society,bath,YearBuilt,YearRemodAdd,MoSold,YrSold,MSSubClass,LotFrontage,1stFlrSF,2ndFlrSF,Gymnasium,SwimmingPool,ShoppingMall,SportsFacility,ATM,School,Hospital,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,KitchenAbvGr
1,Super built-up  Area,2235000,1016,Barasat,2 BHK,19-Dec,1,CollgCr,3,2003,2003,2,2020,60,65,856,854,1,1,0,0,0,0,0,706,0,150,856,856,854,0,1710,1
2,Plot  Area,3665999,1111,Keshtopur,4 Bedroom,Ready To Move,1,Veenker,2,1976,1976,5,2020,20,80,1262,0,1,0,0,0,0,0,0,978,0,284,1262,1262,0,0,1262,1
3,Built-up  Area,3774000,1020,Rajarhat,3 BHK,Ready To Move,1,CollgCr,2,2001,2002,9,2018,60,68,920,866,1,0,0,0,0,0,0,486,0,434,920,920,866,0,1786,1
4,Super built-up  Area,2524000,935,Narendrapur,3 BHK,Ready To Move,0,Crawfor,2,1915,1970,2,2019,70,60,961,756,1,1,0,0,0,0,0,216,0,540,756,961,756,0,1717,1
5,Super built-up  Area,8300000,1956,New Town,2 BHK,Ready To Move,1,NoRidge,1,2000,2000,12,2020,60,84,1145,1053,1,1,0,1,0,0,0,655,0,490,1145,1145,1053,0,2198,1
6,Super built-up  Area,3761000,1179,Joka,2 BHK,Ready To Move,1,Mitchel,2,1993,,10,2020,50,85,796,566,1,0,0,0,0,0,0,732,0,64,796,796,566,0,1362,1
7,Super built-up  Area,9727000,1107,Tangra,4 BHK,18-May,1,Somerst,1,2004,2005,8,2019,20,75,1694,0,1,1,0,0,0,0,0,1369,0,317,1686,1694,0,0,1694,1
8,Super built-up  Area,3372999,1041,Sonarpur,4 BHK,Ready To Move,1,NWAmes,2,1973,1973,11,2018,60,NA,1107,983,1,1,0,0,0,0,0,859,32,216,1107,1107,983,0,2090,1
9,Super built-up  Area,3990999,1174,Sonarpur,3 BHK,Ready To Move,1,OldTown,2,1931,1950,4,2015,50,51,1022,752,1,1,0,1,0,0,0,0,0,952,952,1022,752,0,1774,2
10,Plot  Area,4629000,1342,Madhyamgram,6 Bedroom,Ready To Move,1,BrkSide,2,1939,1950,1,2016,190,50,1077,0,1,1,0,1,0,0,0,851,0,140,991,1077,0,0,1077,2
11,Super built-up  Area,13000000,2210,Dum Dum,3 BHK,18-Feb,1,Sawyer,1,1965,1965,2,2020,20,70,1040,0,1,1,1,1,0,0,1,906,0,134,1040,1040,0,0,1040,1
